instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
9485826,37054,NIFTY25NOVFUT,NIFTY,0.0,2025-11-25,0.0,0.1,75,FUT,NFO-FUT,NFO
12683010,49543,NIFTY25DECFUT,NIFTY,0.0,2025-12-30,0.0,0.1,75,FUT,NFO-FUT,NFO
12602626,49229,NIFTY26JANFUT,NIFTY,0.0,2026-01-27,0.0,0.1,65,FUT,NFO-FUT,NFO
9485058,37051,BANKNIFTY25NOVFUT,BANKNIFTY,0.0,2025-11-25,0.0,0.2,35,FUT,NFO-FUT,NFO
12674050,49508,BANKNIFTY25DECFUT,BANKNIFTY,0.0,2025-12-30,0.0,0.2,35,FUT,NFO-FUT,NFO
12601346,49224,BANKNIFTY26JANFUT,BANKNIFTY,0.0,2026-01-27,0.0,0.2,30,FUT,NFO-FUT,NFO
9808130,38313,360ONE25NOVFUT,360ONE,0.0,2025-11-25,0.0,0.1,500,FUT,NFO-FUT,NFO
12683522,49545,360ONE25DECFUT,360ONE,0.0,2025-12-30,0.0,0.1,500,FUT,NFO-FUT,NFO
12604162,49235,360ONE26JANFUT,360ONE,0.0,2026-01-27,0.0,0.1,500,FUT,NFO-FUT,NFO
9808386,38314,ABB25NOVFUT,ABB,0.0,2025-11-25,0.0,0.5,125,FUT,NFO-FUT,NFO
12684290,49548,ABB25DECFUT,ABB,0.0,2025-12-30,0.0,0.5,125,FUT,NFO-FUT,NFO
12604418,49236,ABB26JANFUT,ABB,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
9808642,38315,ABCAPITAL25NOVFUT,ABCAPITAL,0.0,2025-11-25,0.0,0.05,3100,FUT,NFO-FUT,NFO
12686594,49557,ABCAPITAL25DECFUT,ABCAPITAL,0.0,2025-12-30,0.0,0.05,3100,FUT,NFO-FUT,NFO
12604674,49237,ABCAPITAL26JANFUT,ABCAPITAL,0.0,2026-01-27,0.0,0.05,3100,FUT,NFO-FUT,NFO
9808898,38316,ADANIENSOL25NOVFUT,ADANIENSOL,0.0,2025-11-25,0.0,0.05,675,FUT,NFO-FUT,NFO
12687874,49562,ADANIENSOL25DECFUT,ADANIENSOL,0.0,2025-12-30,0.0,0.05,675,FUT,NFO-FUT,NFO
12605186,49239,ADANIENSOL26JANFUT,ADANIENSOL,0.0,2026-01-27,0.0,0.05,675,FUT,NFO-FUT,NFO
9809154,38317,ADANIENT25NOVFUT,ADANIENT,0.0,2025-11-25,0.0,0.1,309,FUT,NFO-FUT,NFO
12688130,49563,ADANIENT25DECFUT,ADANIENT,0.0,2025-12-30,0.0,0.1,309,FUT,NFO-FUT,NFO
12605442,49240,ADANIENT26JANFUT,ADANIENT,0.0,2026-01-27,0.0,0.1,309,FUT,NFO-FUT,NFO
9991170,39028,ADANIGREEN25NOVFUT,ADANIGREEN,0.0,2025-11-25,0.0,0.1,600,FUT,NFO-FUT,NFO
12688898,49566,ADANIGREEN25DECFUT,ADANIGREEN,0.0,2025-12-30,0.0,0.1,600,FUT,NFO-FUT,NFO
12605698,49241,ADANIGREEN26JANFUT,ADANIGREEN,0.0,2026-01-27,0.0,0.1,600,FUT,NFO-FUT,NFO
9991426,39029,ADANIPORTS25NOVFUT,ADANIPORTS,0.0,2025-11-25,0.0,0.1,475,FUT,NFO-FUT,NFO
12689666,49569,ADANIPORTS25DECFUT,ADANIPORTS,0.0,2025-12-30,0.0,0.1,475,FUT,NFO-FUT,NFO
12605954,49242,ADANIPORTS26JANFUT,ADANIPORTS,0.0,2026-01-27,0.0,0.1,475,FUT,NFO-FUT,NFO
